order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,request_date,return_reason,total_amount,shipping_cost,profit_margin,customer_age,customer_gender
O100020,C11685,P246233,Toys,18,0.0%,2,PayPal,2024-05-10,2024-05-14,West,No,,,36,6,9,64,Female
O100021,C17476,P221471,Fashion,40,0.0%,1,COD,2024-11-14,2024-11-20,North,No,,,40,5,9,49,Other
O100022,C10769,P203302,Electronics,129,0.0%,1,Debit Card,2024-12-14,2024-12-18,North,No,,,129,8,8,41,Female
O100023,C12391,P214437,Fashion,176,0.0%,1,Debit Card,2025-05-16,2025-05-23,South,No,,,176,7,55,34,Male
O100024,C15611,P247930,Sports,346,15.0%,2,Debit Card,2024-04-16,2024-04-21,Central,No,,,587,9,167,32,Female
O100025,C17581,P214512,Beauty,12,0.0%,3,UPI,2024-08-31,2024-09-07,East,No,,,37,5,11,49,Female
O100026,C16949,P232436,Sports,157,15.0%,1,Debit Card,2025-08-26,2025-08-31,South,No,,,134,7,33,20,Female
O100027,C12433,P223511,Fashion,11,0.0%,2,Debit Card,2025-08-19,2025-08-23,West,No,,,22,6,2,60,Female
O100028,C15311,P205022,Grocery,21,0.0%,2,PayPal,2024-05-27,2024-06-02,South,No,,,42,5,-1,61,Female
O100029,C15051,P243239,Home,54,0.0%,2,UPI,2023-10-11,2023-10-17,East,No,,,109,8,22,36,Female
O100030,C16420,P206155,Home,55,15.0%,1,Credit Card,2023-11-12,2023-11-18,South,No,,,47,6,7,44,Male
O100031,C11184,P231480,Grocery,10,15.0%,1,Debit Card,2024-04-08,2024-04-15,East,No,,,9,1,-1,32,Male
O100032,C14555,P238022,Grocery,8,0.0%,1,Credit Card,2023-12-30,2024-01-04,North,No,,,8,2,-1,61,Female
O100033,C13385,P225332,Sports,22,5.0%,1,Credit Card,2024-08-06,2024-08-10,South,No,,,21,4,2,26,Male
O100034,C14117,P204354,Grocery,13,0.0%,2,Debit Card,2024-08-08,2024-08-11,North,No,,,26,6,-4,21,Female
O100035,C16396,P231847,Beauty,9,0.0%,2,Credit Card,2024-04-04,2024-04-08,South,No,,,18,5,3,19,Female
O100036,C14843,P235284,Fashion,34,0.0%,2,Debit Card,2025-05-27,2025-06-01,South,No,,,68,5,19,28,Female
O100037,C12904,P248640,Fashion,18,0.0%,1,Credit Card,2024-07-10,2024-07-15,West,No,,,18,6,0,28,Male
O100038,C17728,P210156,Beauty,51,0.0%,2,Credit Card,2025-02-13,2025-02-20,West,No,,,102,6,39,46,Female
O100039,C10474,P222453,Beauty,13,15.0%,1,Credit Card,2024-08-17,2024-08-23,West,No,,,11,4,1,51,Female
O100040,C11082,P232689,Home,298,10.0%,1,UPI,2023-12-09,2023-12-13,South,No,,,268,7,68,20,Female
O100041,C12558,P223758,Grocery,6,0.0%,1,COD,2024-03-31,2024-04-04,West,No,,,6,2,-2,35,Male
O100042,C17849,P208838,Home,36,0.0%,2,COD,2025-02-03,2025-02-07,North,No,,,72,7,13,36,Female
O100043,C12047,P245502,Fashion,47,15.0%,1,UPI,2023-10-31,2023-11-05,South,No,,,40,5,9,48,Male
O100044,C17643,P243790,Electronics,313,0.0%,1,Debit Card,2024-09-27,2024-10-05,Central,No,,,313,9,29,53,Male
O100045,C12747,P237976,Grocery,14,10.0%,3,COD,2025-04-11,2025-04-15,West,No,,,37,4,-1,62,Male
O100046,C10975,P249346,Toys,9,0.0%,3,Debit Card,2024-01-11,2024-01-16,South,No,,,27,6,5,30,Female
O100047,C11806,P213725,Beauty,12,0.0%,2,Credit Card,2025-05-03,2025-05-08,West,No,,,25,5,6,58,Male
O100048,C10189,P209337,Toys,7,0.0%,1,Credit Card,2025-03-19,2025-03-24,North,No,,,7,4,-1,55,Female
O100049,C17101,P210701,Toys,54,5.0%,1,Credit Card,2025-03-12,2025-03-17,South,No,,,51,6,14,35,Female
O100050,C12734,P229811,Grocery,16,0.0%,1,COD,2025-07-14,2025-07-22,East,No,,,16,5,-3,66,Female
O100051,C13005,P243043,Home,196,0.0%,4,Credit Card,2024-12-31,2025-01-05,West,No,,,783,10,209,43,Female
O100052,C14658,P238978,Beauty,8,0.0%,1,PayPal,2024-09-16,2024-09-20,North,No,,,8,3,1,67,Male
O100053,C11899,P229316,Electronics,402,0.0%,2,PayPal,2024-01-24,2024-01-29,South,No,,,804,10,87,40,Female
O100054,C17734,P211544,Grocery,20,5.0%,1,Debit Card,2023-12-29,2024-01-04,East,No,,,19,5,-3,55,Female
O100055,C11267,P221514,Grocery,7,0.0%,2,Debit Card,2023-11-23,2023-11-28,South,No,,,13,5,-4,60,Male
O100056,C16975,P216327,Toys,5,10.0%,1,COD,2023-12-18,2023-12-21,Central,No,,,5,4,-2,57,Female
O100057,C11528,P246809,Home,167,0.0%,4,Wallet,2023-12-06,2023-12-09,North,No,,,669,9,178,37,Female
O100058,C13202,P216705,Home,134,15.0%,1,Wallet,2024-10-30,2024-11-02,Central,No,,,114,7,25,53,Male
O100059,C13556,P210479,Home,123,0.0%,3,COD,2024-08-16,2024-08-20,North,No,,,369,7,96,69,Female
O100060,C13890,P211323,Fashion,15,0.0%,1,UPI,2024-12-01,2024-12-06,West,No,,,15,5,0,69,Male
O100061,C10646,P212937,Beauty,10,0.0%,1,Credit Card,2023-11-13,2023-11-17,North,No,,,10,3,2,25,Other
O100062,C16164,P223089,Electronics,369,0.0%,1,Debit Card,2024-06-26,2024-07-02,West,No,,,369,10,34,36,Male
O100063,C12888,P201702,Grocery,14,10.0%,1,Debit Card,2025-06-24,2025-06-29,West,No,,,12,2,-1,22,Female
O100064,C16310,P210404,Home,117,5.0%,1,Credit Card,2024-01-22,2024-01-26,West,No,,,111,7,24,59,Male
O100065,C15393,P233598,Grocery,20,0.0%,1,COD,2025-06-23,2025-06-28,North,No,,,20,5,-3,65,Male
O100066,C12435,P208380,Sports,176,15.0%,1,Debit Card,2025-09-03,2025-09-08,West,No,,,149,6,39,58,Female
O100067,C10600,P221990,Fashion,21,0.0%,1,UPI,2024-02-14,2024-02-18,North,Yes,2024-03-15,No longer needed,21,4,3,50,Male
O100068,C12363,P232859,Fashion,13,0.0%,4,PayPal,2023-12-15,2023-12-19,South,No,,,54,6,13,30,Male
O100069,C12061,P203877,Grocery,4,20.0%,1,PayPal,2023-11-22,2023-11-27,East,No,,,3,3,-3,44,Female
O100070,C10241,P242871,Toys,8,0.0%,2,Debit Card,2024-05-30,2024-06-07,South,No,,,17,4,3,25,Female
O100071,C12041,P218720,Fashion,150,0.0%,3,Debit Card,2024-10-18,2024-10-22,West,No,,,450,8,149,28,Female
O100072,C12824,P207676,Electronics,98,10.0%,1,Debit Card,2024-09-21,2024-09-27,East,No,,,88,7,4,53,Male
O100073,C17513,P231818,Sports,217,0.0%,1,Credit Card,2025-02-24,2025-03-02,South,No,,,217,8,58,24,Male
O100074,C12612,P234348,Fashion,16,0.0%,2,Credit Card,2024-12-06,2024-12-10,South,No,,,32,5,7,69,Male
O100075,C17041,P248555,Fashion,26,5.0%,3,COD,2023-12-21,2023-12-26,West,No,,,74,6,20,46,Other
O100076,C11363,P242368,Sports,23,30.0%,2,Credit Card,2025-02-13,2025-02-17,Central,No,,,33,5,5,31,Male
O100077,C16235,P248180,Sports,21,0.0%,2,COD,2024-05-14,2024-05-19,West,No,,,41,4,8,20,Female
O100078,C15486,P224130,Home,23,0.0%,1,UPI,2023-12-20,2023-12-23,Central,No,,,23,5,2,45,Male
O100079,C17099,P233241,Grocery,7,0.0%,4,Credit Card,2024-06-28,2024-07-01,North,No,,,26,6,-4,68,Male
O100080,C11478,P244392,Sports,83,5.0%,1,Wallet,2024-03-13,2024-03-17,West,No,,,79,8,15,59,Female
O100081,C17595,P249421,Grocery,4,0.0%,1,Wallet,2025-01-23,2025-01-27,West,No,,,4,3,-2,38,Female
O100082,C12556,P226620,Fashion,138,0.0%,1,UPI,2025-04-20,2025-04-24,South,No,,,138,7,41,50,Female
O100083,C10775,P217077,Fashion,48,10.0%,4,Credit Card,2023-09-23,2023-09-29,West,No,,,174,8,53,29,Female
O100084,C14014,P212663,Electronics,753,5.0%,1,Debit Card,2024-06-08,2024-06-12,South,No,,,715,10,75,28,Male
O100085,C10034,P217799,Fashion,13,0.0%,3,Wallet,2025-08-04,2025-08-08,South,No,,,39,7,7,20,Female
O100086,C16349,P247285,Grocery,3,0.0%,1,Debit Card,2024-06-12,2024-06-16,South,No,,,3,2,-2,59,Female
O100087,C13152,P217619,Grocery,26,10.0%,4,Credit Card,2024-06-18,2024-06-21,North,No,,,93,9,-2,32,Male
O100088,C11955,P203967,Toys,19,5.0%,1,PayPal,2023-12-20,2023-12-25,South,No,,,18,4,3,62,Female
O100089,C11585,P227488,Beauty,71,15.0%,1,Debit Card,2024-07-05,2024-07-12,South,No,,,61,5,22,34,Male
O100090,C13943,P213211,Toys,5,0.0%,1,UPI,2025-02-09,2025-02-15,West,No,,,5,2,0,59,Female
O100091,C17555,P221169,Beauty,4,0.0%,1,UPI,2024-07-08,2024-07-12,South,No,,,4,2,0,54,Female
O100092,C13073,P230373,Electronics,857,0.0%,3,COD,2024-08-10,2024-08-14,West,No,,,2572,12,296,61,Female
O100093,C11021,P232669,Home,168,5.0%,2,Debit Card,2024-01-20,2024-01-26,East,No,,,319,8,82,57,Male
O100094,C13461,P206634,Beauty,43,0.0%,3,Debit Card,2025-07-02,2025-07-06,Central,No,,,130,6,52,53,Female
O100095,C12613,P200840,Fashion,22,0.0%,1,Wallet,2025-02-22,2025-03-01,East,No,,,22,4,4,27,Male
O100096,C15225,P234229,Fashion,5,5.0%,1,Credit Card,2023-09-12,2023-09-17,East,No,,,5,4,-2,36,Male
O100097,C13843,P221318,Fashion,37,10.0%,5,COD,2024-09-26,2024-09-29,Central,No,,,168,8,51,29,Male
O100098,C17989,P215405,Beauty,116,15.0%,1,Debit Card,2025-05-02,2025-05-07,West,No,,,98,7,38,40,Female
O100099,C11500,P247771,Electronics,824,0.0%,1,COD,2025-05-08,2025-05-12,South,No,,,824,9,90,32,Female
O100100,C14798,P236240,Sports,17,10.0%,1,Debit Card,2025-02-25,2025-03-02,West,Yes,2025-03-12,Not as described,16,5,0,41,Male
O100101,C16545,P215847,Home,37,20.0%,1,Credit Card,2025-02-04,2025-02-09,North,No,,,30,4,5,49,Male
O100102,C16873,P223547,Fashion,23,0.0%,5,Credit Card,2025-05-02,2025-05-07,Central,No,,,117,7,34,38,Male
O100103,C15675,P206575,Toys,37,15.0%,1,Credit Card,2024-11-29,2024-12-05,East,No,,,31,4,9,47,Female
O100104,C10161,P230123,Home,239,20.0%,1,Credit Card,2024-11-14,2024-11-18,South,No,,,191,9,45,69,Male
O100105,C14297,P204843,Home,37,0.0%,1,COD,2023-10-23,2023-10-30,South,No,,,37,5,5,49,Male
O100106,C11981,P227451,Toys,17,0.0%,2,Credit Card,2024-11-21,2024-11-25,North,No,,,34,4,9,19,Male
O100107,C10995,P207739,Home,102,0.0%,2,Wallet,2024-06-08,2024-06-14,East,No,,,203,8,49,54,Female
O100108,C16413,P214852,Toys,13,20.0%,1,Credit Card,2024-07-11,2024-07-14,North,No,,,10,2,2,51,Male
O100109,C14911,P249092,Home,111,0.0%,1,Debit Card,2024-08-06,2024-08-11,North,No,,,111,8,23,39,Male
O100110,C13342,P209157,Fashion,22,5.0%,3,COD,2023-12-23,2023-12-31,East,No,,,63,6,16,50,Female
O100111,C14551,P222406,Beauty,22,5.0%,3,UPI,2023-12-04,2023-12-07,North,No,,,62,6,22,60,Male
O100112,C17629,P247284,Fashion,62,5.0%,1,COD,2025-01-21,2025-01-25,South,No,,,59,8,13,28,Male
O100113,C13798,P245200,Electronics,71,0.0%,2,UPI,2025-08-08,2025-08-12,West,No,,,142,7,10,46,Female
O100114,C11275,P207432,Electronics,1162,0.0%,1,Credit Card,2024-10-29,2024-11-02,South,No,,,1162,8,131,69,Female
O100115,C11016,P218837,Fashion,14,0.0%,1,Debit Card,2025-05-07,2025-05-11,South,No,,,14,5,0,63,Male
O100116,C17869,P215148,Sports,54,0.0%,1,Debit Card,2025-06-03,2025-06-08,North,No,,,54,5,11,57,Female
O100117,C16439,P211194,Toys,15,0.0%,1,Credit Card,2025-08-04,2025-08-09,East,No,,,15,4,2,48,Male
O100118,C17892,P232591,Toys,3,20.0%,3,Credit Card,2025-05-06,2025-05-11,West,No,,,7,3,-1,24,Other
O100119,C16863,P214819,Fashion,44,5.0%,4,Wallet,2023-11-12,2023-11-20,Central,No,,,168,7,51,36,Female
O100120,C17916,P206625,Sports,211,10.0%,1,Credit Card,2023-09-15,2023-09-19,South,No,,,190,9,48,66,Female
O100121,C10337,P207404,Fashion,119,0.0%,1,COD,2025-02-04,2025-02-07,North,No,,,119,7,35,61,Female
O100122,C10878,P214674,Beauty,13,0.0%,2,PayPal,2025-01-20,2025-01-26,South,No,,,25,4,7,42,Male
O100123,C11076,P210507,Grocery,12,20.0%,1,COD,2025-04-06,2025-04-13,East,No,,,9,1,0,48,Female
O100124,C14887,P220387,Electronics,537,15.0%,1,PayPal,2024-02-16,2024-02-20,Central,Yes,2024-03-19,Missing/Wrong item,457,9,45,28,Female
O100125,C13993,P218697,Grocery,5,0.0%,1,COD,2023-11-18,2023-11-24,South,No,,,5,1,-1,33,Female
O100126,C16360,P237391,Toys,17,0.0%,2,Credit Card,2024-10-02,2024-10-06,South,Yes,2024-10-15,Defective,34,5,8,34,Female
O100127,C14859,P219547,Toys,11,0.0%,1,Debit Card,2025-01-30,2025-02-04,South,No,,,11,2,3,23,Female
O100128,C16331,P223570,Sports,57,0.0%,2,COD,2024-02-26,2024-03-03,East,No,,,113,9,26,38,Male
O100129,C10379,P239783,Toys,4,5.0%,1,Credit Card,2025-06-09,2025-06-14,Central,No,,,4,2,0,62,Male
O100130,C10492,P228037,Grocery,8,20.0%,1,Credit Card,2025-02-12,2025-02-19,South,No,,,6,2,-2,27,Female
O100131,C17208,P230083,Toys,5,0.0%,3,Wallet,2025-09-02,2025-09-06,South,No,,,16,5,2,25,Female
O100132,C15276,P248029,Fashion,23,10.0%,1,Credit Card,2024-06-06,2024-06-13,East,No,,,20,4,3,65,Male
O100133,C12062,P240550,Beauty,13,0.0%,1,Credit Card,2024-04-16,2024-04-20,Central,No,,,13,4,2,18,Male
O100134,C13884,P237982,Fashion,33,15.0%,1,UPI,2024-07-16,2024-07-22,South,No,,,28,7,3,21,Male
O100135,C10064,P239706,Grocery,34,0.0%,2,UPI,2024-07-26,2024-08-01,South,No,,,68,5,0,41,Female
O100136,C12568,P202988,Grocery,14,0.0%,2,COD,2025-05-13,2025-05-18,Central,No,,,28,6,-4,58,Female
O100137,C15463,P205156,Beauty,93,0.0%,1,Credit Card,2025-04-03,2025-04-08,South,No,,,93,7,35,51,Female
O100138,C15248,P238280,Toys,20,5.0%,1,PayPal,2024-08-06,2024-08-12,South,No,,,19,5,2,40,Male
O100139,C12027,P209788,Grocery,23,5.0%,1,Debit Card,2023-11-21,2023-11-24,North,No,,,21,6,-4,43,Female
O100140,C12695,P214185,Fashion,93,5.0%,2,UPI,2024-03-05,2024-03-10,Central,No,,,177,7,56,46,Female
O100141,C11495,P218734,Beauty,36,10.0%,1,Debit Card,2023-12-19,2023-12-24,North,No,,,32,5,9,49,Female
O100142,C17230,P209971,Home,156,0.0%,1,PayPal,2023-09-27,2023-10-01,Central,No,,,156,7,36,43,Female
O100143,C15258,P243408,Toys,13,10.0%,2,PayPal,2025-02-13,2025-02-20,North,No,,,23,4,5,52,Female
O100144,C15618,P206487,Home,120,0.0%,1,COD,2024-02-24,2024-02-29,West,No,,,120,7,26,31,Male
O100145,C16736,P220997,Sports,31,10.0%,1,COD,2024-06-06,2024-06-10,West,No,,,28,7,1,38,Female
O100146,C10391,P246456,Home,137,10.0%,1,Credit Card,2023-12-11,2023-12-15,West,No,,,123,6,28,37,Female
O100147,C15794,P212452,Electronics,285,0.0%,1,Wallet,2024-10-16,2024-10-22,North,No,,,285,9,25,50,Female
O100148,C14514,P215372,Electronics,580,0.0%,2,Debit Card,2025-02-20,2025-02-24,West,No,,,1160,9,130,36,Female
O100149,C16432,P244767,Electronics,807,0.0%,4,UPI,2023-12-19,2023-12-25,East,No,,,3227,12,375,19,Female
O100150,C14474,P213434,Electronics,96,0.0%,4,UPI,2024-12-04,2024-12-11,East,No,,,385,10,37,38,Female
O100151,C15892,P212416,Beauty,32,0.0%,5,COD,2025-07-11,2025-07-16,South,No,,,159,8,64,19,Female
O100152,C13561,P219248,Sports,305,0.0%,2,UPI,2025-07-05,2025-07-10,South,No,,,609,9,174,58,Female
O100153,C12278,P246713,Electronics,862,0.0%,1,PayPal,2024-01-02,2024-01-05,North,No,,,862,10,93,31,Female
O100154,C17161,P228194,Beauty,47,5.0%,1,Debit Card,2024-03-17,2024-03-20,Central,No,,,45,6,14,24,Male
O100155,C16184,P233785,Beauty,4,0.0%,1,COD,2024-12-04,2024-12-07,North,No,,,4,2,0,25,Female
O100156,C13099,P237458,Electronics,145,0.0%,2,Debit Card,2024-11-14,2024-11-17,North,No,,,289,9,26,63,Male
O100157,C16278,P208373,Home,31,0.0%,1,Credit Card,2023-09-18,2023-09-21,North,No,,,31,3,5,28,Male
O100158,C10200,P230283,Sports,267,20.0%,1,PayPal,2025-02-28,2025-03-04,Central,No,,,214,7,57,52,Male
O100159,C15959,P229415,Electronics,499,5.0%,1,Credit Card,2025-07-14,2025-07-18,Central,No,,,474,9,48,45,Male
O100160,C14875,P226414,Electronics,297,20.0%,2,Wallet,2024-02-27,2024-03-02,North,No,,,475,9,48,36,Female
O100161,C17073,P214378,Grocery,52,0.0%,1,COD,2025-07-09,2025-07-13,South,No,,,52,7,-2,50,Female
O100162,C13104,P218336,Sports,31,0.0%,1,Credit Card,2024-01-01,2024-01-05,West,No,,,31,5,5,32,Male
O100163,C17215,P204700,Home,145,10.0%,1,Debit Card,2024-11-10,2024-11-13,Central,No,,,131,9,28,38,Male
O100164,C14598,P213901,Beauty,26,0.0%,1,Debit Card,2024-04-08,2024-04-12,West,No,,,26,8,4,44,Male
O100165,C12454,P224838,Toys,10,20.0%,1,Credit Card,2024-02-12,2024-02-18,West,No,,,8,4,0,21,Male
O100166,C13645,P222597,Toys,15,0.0%,3,UPI,2024-09-09,2024-09-12,Central,No,,,45,7,11,26,Male
O100167,C15847,P233428,Fashion,18,5.0%,2,PayPal,2025-04-26,2025-05-02,West,No,,,35,6,6,22,Female
O100168,C10804,P240149,Home,159,10.0%,1,Credit Card,2023-10-15,2023-10-19,West,No,,,143,7,33,67,Female
O100169,C16242,P235687,Beauty,16,0.0%,2,Debit Card,2025-07-18,2025-07-23,South,No,,,33,5,10,39,Female
O100170,C12731,P229493,Electronics,58,0.0%,1,UPI,2024-04-09,2024-04-15,West,No,,,58,6,0,24,Male
O100171,C15991,P231852,Grocery,41,0.0%,1,PayPal,2025-09-03,2025-09-06,Central,No,,,41,5,-2,42,Female
O100172,C12773,P210932,Home,102,5.0%,2,Wallet,2024-09-10,2024-09-16,East,No,,,193,8,46,51,Female
O100173,C11570,P223009,Home,171,0.0%,1,UPI,2025-07-27,2025-07-30,Central,No,,,171,9,39,43,Male
O100174,C15056,P233583,Grocery,4,5.0%,2,UPI,2024-08-09,2024-08-13,Central,No,,,7,4,-4,55,Female
O100175,C17906,P247278,Electronics,94,0.0%,2,Debit Card,2023-09-27,2023-10-03,East,No,,,188,7,16,20,Male
O100176,C16756,P227994,Electronics,806,10.0%,3,Credit Card,2025-09-06,2025-09-12,South,No,,,2177,10,251,45,Male
O100177,C15581,P229865,Sports,98,5.0%,1,UPI,2025-07-31,2025-08-03,North,No,,,93,7,20,50,Female
O100178,C12690,P212289,Home,100,0.0%,1,UPI,2024-02-02,2024-02-09,West,No,,,100,8,20,50,Male
O100179,C13840,P228293,Toys,16,0.0%,1,UPI,2023-12-28,2024-01-05,East,No,,,16,4,3,54,Female
O100180,C11028,P204734,Electronics,138,0.0%,1,Wallet,2025-04-05,2025-04-10,West,No,,,138,8,8,39,Female
O100181,C17385,P220013,Home,331,0.0%,1,Credit Card,2024-02-03,2024-02-07,North,No,,,331,7,86,34,Female
O100182,C10502,P235521,Fashion,17,0.0%,2,PayPal,2024-11-05,2024-11-11,West,No,,,34,3,8,67,Female
O100183,C16910,P206505,Sports,27,0.0%,1,Debit Card,2024-11-13,2024-11-17,North,No,,,27,3,5,37,Female
O100184,C14493,P244327,Fashion,136,10.0%,1,COD,2024-11-10,2024-11-15,East,No,,,122,8,34,45,Male
O100185,C10870,P247673,Home,49,0.0%,1,Credit Card,2024-10-08,2024-10-13,West,No,,,49,5,8,64,Female
O100186,C16938,P204685,Toys,41,0.0%,2,Debit Card,2025-01-24,2025-01-28,North,No,,,82,7,26,45,Male
O100187,C14488,P249353,Grocery,20,0.0%,2,COD,2024-06-12,2024-06-18,East,No,,,41,5,-2,40,Female
O100188,C10206,P218409,Sports,57,0.0%,1,Credit Card,2024-03-13,2024-03-16,Central,No,,,57,7,10,56,Female
O100189,C15134,P219517,Home,49,0.0%,2,Wallet,2023-11-04,2023-11-07,North,No,,,97,8,20,46,Female
O100190,C15977,P244533,Beauty,38,0.0%,1,Credit Card,2024-09-14,2024-09-18,North,No,,,38,6,11,66,Female
O100191,C17721,P230475,Sports,100,5.0%,2,Credit Card,2025-04-08,2025-04-11,North,No,,,189,8,49,22,Male
O100192,C17035,P236989,Toys,8,5.0%,1,PayPal,2024-12-31,2025-01-05,West,No,,,7,4,-1,55,Female
O100193,C11484,P215327,Grocery,30,15.0%,1,Credit Card,2024-04-10,2024-04-15,East,No,,,26,4,-2,29,Male
O100194,C17858,P203671,Grocery,18,20.0%,1,Debit Card,2023-12-18,2023-12-23,Central,No,,,14,5,-4,62,Male
O100195,C17742,P204941,Toys,49,0.0%,1,Credit Card,2024-08-10,2024-08-16,West,No,,,49,6,13,44,Female
O100196,C10863,P226372,Electronics,237,0.0%,1,UPI,2025-08-01,2025-08-05,South,No,,,237,9,20,63,Male
O100197,C12790,P212466,Sports,23,0.0%,1,Credit Card,2025-01-24,2025-01-28,West,No,,,23,4,3,42,Male
O100198,C17408,P218286,Toys,53,0.0%,1,Credit Card,2025-06-30,2025-07-05,West,No,,,53,7,14,35,Male
O100199,C10563,P244959,Toys,20,5.0%,3,Credit Card,2025-05-24,2025-05-30,East,No,,,57,7,16,32,Male
O100200,C15116,P204588,Grocery,13,0.0%,4,COD,2025-07-23,2025-07-28,Central,No,,,53,5,0,40,Male
O100201,C14191,P228080,Home,126,0.0%,1,UPI,2024-11-22,2024-11-27,North,No,,,126,7,28,21,Male
O100202,C16019,P224544,Sports,73,0.0%,1,Debit Card,2023-10-13,2023-10-19,East,No,,,73,8,14,18,Female
O100203,C11757,P210811,Electronics,146,0.0%,2,Credit Card,2025-04-18,2025-04-25,Central,No,,,291,8,27,41,Female
O100204,C16628,P218733,Beauty,26,20.0%,1,Debit Card,2024-12-16,2024-12-21,South,No,,,21,5,5,24,Male
O100205,C17574,P240696,Home,177,20.0%,1,Wallet,2024-01-03,2024-01-09,East,No,,,142,7,32,18,Female
O100206,C16374,P248093,Grocery,34,0.0%,1,COD,2024-09-25,2024-09-30,East,No,,,34,6,-4,36,Male
O100207,C16892,P239888,Grocery,2,0.0%,4,Debit Card,2025-04-21,2025-04-25,Central,No,,,8,2,-1,25,Male
O100208,C11678,P247042,Toys,8,5.0%,1,Debit Card,2024-06-23,2024-06-26,North,No,,,7,2,1,65,Male
O100209,C13242,P230059,Electronics,537,0.0%,1,COD,2023-09-16,2023-09-19,North,No,,,537,10,55,68,Female
O100210,C14636,P237487,Home,206,0.0%,1,Credit Card,2024-11-08,2024-11-15,East,No,,,206,10,48,35,Male
O100211,C11059,P240849,Sports,33,0.0%,1,Credit Card,2023-12-22,2023-12-27,North,No,,,33,6,4,36,Female
O100212,C16668,P214550,Electronics,116,5.0%,3,UPI,2023-12-28,2024-01-05,East,No,,,332,8,32,56,Male
O100213,C15279,P249122,Fashion,27,0.0%,2,UPI,2023-12-22,2023-12-28,East,No,,,55,6,13,59,Male
O100214,C11722,P210864,Grocery,2,0.0%,2,Credit Card,2024-05-06,2024-05-09,Central,No,,,4,3,-3,32,Male
O100215,C13314,P225394,Electronics,476,0.0%,1,Credit Card,2025-01-14,2025-01-18,West,No,,,476,8,49,18,Male
O100216,C13157,P219061,Electronics,410,0.0%,1,Debit Card,2024-05-11,2024-05-15,North,No,,,410,9,40,48,Female
O100217,C15915,P249699,Beauty,51,30.0%,1,Debit Card,2024-05-16,2024-05-22,East,No,,,36,6,10,24,Female
O100218,C12625,P212624,Grocery,8,5.0%,5,UPI,2024-02-03,2024-02-07,South,No,,,40,7,-3,39,Male
O100219,C12729,P224934,Toys,22,0.0%,1,Debit Card,2025-05-21,2025-05-25,North,No,,,22,4,5,48,Male
O100220,C16700,P203361,Grocery,42,20.0%,1,Credit Card,2023-11-24,2023-11-27,North,No,,,33,4,-2,48,Male
O100221,C11597,P213707,Sports,324,0.0%,1,Credit Card,2025-06-18,2025-06-23,East,No,,,324,10,87,57,Male
